id_venda,id_cliente,id_produto,id_vendedor,id_data,quantidade,preco_unitario,custo_unitario,canal_venda
1,35,214,48,20240615,19,69.1,49.68,Varejo
2,284,377,58,20241117,101,64.39,41.5,Atacado
3,72,66,46,20240101,134,83.97,80.04,Atacado
4,38,390,89,20241229,67,71.78,51.62,Atacado
5,279,381,26,20240801,90,78.13,50.66,Atacado
6,288,165,44,20240317,12,92.79,72.06,Atacado
7,397,341,50,20241031,466,10.48,7.58,Varejo
8,544,14,49,20240205,90,112.36,72.71,Varejo
9,564,79,34,20240602,90,114.43,87.7,Varejo
10,20,459,60,20240804,11,70.99,40.56,Varejo
11,5,325,66,20240409,237,10.76,7.39,Atacado
12,528,59,65,20241127,45,132.55,98.83,Varejo
13,460,259,32,20240925,474,9.65,6.46,Varejo
14,109,404,5,20240310,56,74.43,54.19,Varejo
15,305,418,41,20240307,78,82.88,48.34,Atacado
16,394,323,37,20240130,293,9.24,5.51,Varejo
17,300,188,69,20240803,11,76.77,63.9,Atacado
18,572,417,25,20240319,67,84.78,53.41,Atacado
19,459,293,56,20240722,317,11.19,8.17,Atacado
20,486,116,74,20241106,45,131.72,105.85,Exportação
21,395,116,88,20241125,45,141.07,95.94,Atacado
22,103,238,3,20240222,13,89.95,61.63,Atacado
23,428,269,26,20240507,423,9.81,6.77,Atacado
24,134,444,94,20240604,34,66.9,55.71,Atacado
25,62,419,50,20240524,67,86.71,57.34,Varejo
26,236,295,3,20240605,145,10.84,7.77,Varejo
27,49,478,62,20240619,56,78.27,49.26,Exportação
28,383,238,57,20241016,6,95.38,63.49,Varejo
29,479,75,84,20240428,90,116.85,91.17,Varejo
30,293,486,2,20240511,67,79.96,59.67,Varejo
31,237,410,10,20240526,34,69.4,55.59,Varejo
32,296,381,51,20240306,78,77.73,47.58,Varejo
33,228,71,76,20240829,45,120.5,89.47,Atacado
34,488,82,28,20240529,45,131.3,87.03,Exportação
35,163,389,41,20241206,134,74.69,47.79,Varejo
36,296,338,64,20241107,337,9.5,6.66,Varejo
37,52,257,4,20240403,346,8.98,6.31,Atacado
38,26,35,70,20240407,90,116.69,84.93,Atacado
39,327,178,20,20241025,7,93.67,72.37,Varejo
40,162,268,92,20240729,397,9.84,6.95,Varejo
41,28,172,68,20240105,7,102.96,64.16,Varejo
42,533,494,95,20240829,123,83.33,57.27,Atacado
43,276,355,13,20240528,316,11.52,7.43,Atacado
44,529,254,93,20241026,287,9.99,6.6,Atacado
45,468,21,60,20241013,45,119.98,101.13,Atacado
46,425,404,82,20241208,134,84.68,60.92,Varejo
47,328,268,63,20240926,336,8.64,6.93,Varejo
48,54,163,5,20241205,4,105.3,76.54,Atacado
49,249,341,97,20240421,253,11.03,6.97,Varejo
50,278,41,52,20240509,90,130.65,105.35,Varejo
51,47,178,48,20240128,10,94.81,74.13,Atacado
52,556,379,12,20241121,67,67.8,41.38,Varejo
53,218,206,96,20240307,9,86.45,59.72,Varejo
54,88,425,81,20240726,56,84.43,51.53,Varejo
55,145,74,100,20240708,45,111.76,82.86,Atacado
56,50,223,47,20241104,10,89.5,63.89,Atacado
57,582,290,46,20240525,166,12.61,9.02,Varejo
58,199,458,70,20240303,146,60.79,38.84,Atacado
59,343,257,80,20240524,355,8.63,5.71,Atacado
60,243,257,82,20240123,144,9.4,6.84,Atacado
61,546,90,42,20240427,179,119.47,94.83,Atacado
62,239,74,32,20240829,90,135.02,95.45,Varejo
63,151,362,31,20240127,261,12.04,8.84,Atacado
64,468,41,55,20241228,45,125.91,102.02,Atacado
65,147,97,78,20240719,90,151.24,119.11,Varejo
66,238,297,77,20240427,252,14.55,8.91,Varejo
67,573,237,5,20241111,5,100.74,67.2,Varejo
68,195,372,22,20240301,363,9.86,7.37,Exportação
69,133,257,63,20240504,608,9.66,6.52,Varejo
70,381,268,60,20241213,117,8.92,5.64,Varejo
71,366,35,97,20240406,90,117.71,83.76,Varejo
72,367,207,7,20241008,7,86.61,51.8,Varejo
73,392,490,51,20240207,34,71.5,56.54,Varejo
74,443,465,77,20240718,67,70.45,46.52,Atacado
75,555,166,28,20240910,7,90.22,64.8,Varejo
76,88,52,66,20240327,45,128.15,108.79,Varejo
77,341,479,36,20240506,67,92.32,60.09,Exportação
78,9,348,23,20240725,375,10.4,9.18,Atacado
79,20,66,1,20240811,90,95.86,83.97,Varejo
80,497,229,78,20240307,8,91.83,66.29,Varejo
81,397,342,30,20240602,375,10.55,6.79,Varejo
82,545,352,7,20241231,320,12.02,9.16,Varejo
83,186,411,8,20240504,123,76.82,63.28,Atacado
84,464,105,35,20241026,45,117.49,109.25,Atacado
85,70,54,5,20240324,90,149.46,105.72,Varejo
86,598,156,88,20240620,5,98.9,65.64,Atacado
87,203,444,68,20240712,134,71.61,46.75,Atacado
88,267,363,8,20240814,360,13.3,6.65,Atacado
89,72,21,60,20241003,90,123.89,100.61,Varejo
90,22,33,50,20241030,45,116.11,88.05,Varejo
91,520,195,18,20240927,7,66.09,51.12,Varejo
92,297,295,51,20241102,290,11.89,6.54,Varejo
93,329,293,89,20241127,580,11.68,8.6,Atacado
94,577,14,18,20240505,45,108.86,83.73,Atacado
95,170,472,31,20241109,123,96.81,51.55,Atacado
96,575,434,87,20240712,78,83.7,59.13,Varejo
97,302,285,82,20240413,263,13.08,8.5,Varejo
98,201,388,75,20240314,34,70.03,37.12,Varejo
99,259,448,97,20241019,34,67.71,49.01,Exportação
100,347,17,45,20240901,90,105.09,92.05,Atacado
101,59,91,50,20240202,90,123.97,94.48,Atacado
102,244,42,22,20240810,90,125.07,98.08,Atacado
103,199,203,57,20240121,10,75.02,46.32,Atacado
104,266,450,45,20240526,123,54.41,43.46,Atacado
105,552,185,93,20240803,12,86.88,70.73,Atacado
106,542,250,32,20240907,180,9.18,5.14,Atacado
107,14,254,76,20240309,436,11.23,6.34,Atacado
108,331,339,78,20240122,106,8.73,6.14,Atacado
109,190,229,25,20240805,10,97.88,73.89,Varejo
110,57,440,54,20241106,123,70.9,51.38,Varejo
111,526,100,9,20241030,45,144.43,103.78,Atacado
112,504,236,67,20240516,5,103.06,70.69,Varejo
113,455,114,9,20240806,90,127.56,99.42,Exportação
114,230,301,86,20241004,266,11.71,7.51,Atacado
115,82,446,52,20241123,157,71.74,44.49,Atacado
116,372,188,14,20240630,4,86.81,61.51,Atacado
117,44,172,11,20241124,1,94.04,64.03,Atacado
118,515,80,2,20240503,134,99.38,71.27,Atacado
119,62,171,2,20240330,10,76.51,58.71,Varejo
120,24,169,17,20240425,10,86.65,56.58,Varejo
121,88,450,37,20241007,56,60.3,42.5,Varejo
122,526,42,94,20241127,45,123.98,104.41,Varejo
123,59,465,3,20240623,22,75.98,45.73,Atacado
124,87,239,99,20240925,11,81.02,64.81,Varejo
125,183,115,7,20240302,90,128.18,78.95,Atacado
126,143,295,12,20240707,296,11.2,6.49,Atacado
127,130,294,,20240610,404,10.52,6.76,Atacado
128,137,322,62,20240609,408,10.58,6.52,Atacado
129,535,306,23,20240319,340,12.04,7.8,Atacado
130,21,57,16,20240826,90,113.23,82.57,Atacado
131,346,47,26,20240915,90,130.22,102.71,Atacado
132,556,295,2,20240901,264,12.37,6.86,Varejo
133,147,388,88,20241012,22,73.94,50.0,Varejo
134,254,467,19,20240619,90,79.13,54.74,Atacado
135,425,218,74,20241117,10,103.07,64.23,Varejo
136,457,60,100,20240803,134,138.27,93.65,Varejo
137,190,444,2,20241126,78,62.0,39.72,Varejo
138,191,458,42,20240602,45,65.87,44.74,Atacado
139,83,264,31,20240927,147,9.23,6.75,Varejo
140,477,450,2,20240322,22,57.73,43.07,Atacado
141,368,465,58,20240208,67,77.11,47.9,Atacado
142,593,465,31,20241211,112,75.78,51.61,Varejo
143,530,260,8,20240520,184,9.75,6.45,Atacado
144,478,278,,20240122,256,10.52,6.69,Varejo
145,536,417,8,20240824,112,80.42,51.79,Atacado
146,193,472,15,20241211,78,84.65,57.02,Atacado
147,192,19,11,20241021,90,118.06,87.03,Exportação
148,439,41,80,20241228,90,114.42,96.79,Varejo
149,569,171,4,20241212,13,92.22,66.26,Atacado
150,216,32,47,20240618,90,139.75,112.59,Atacado
151,173,119,85,20240404,45,115.87,96.04,Atacado
152,209,409,3,20240131,101,84.67,60.71,Atacado
153,308,418,95,20240417,90,79.97,60.06,Atacado
154,126,339,89,20240830,331,10.84,5.97,Varejo
155,463,165,33,20241205,7,101.01,64.56,Varejo
156,357,241,87,20240101,3,87.69,59.56,Atacado
157,147,417,73,20241106,22,76.85,60.6,Atacado
158,236,448,51,20241019,168,79.12,48.49,Atacado
159,593,390,35,20240923,90,68.73,48.19,Atacado
160,546,325,14,20240227,427,9.36,7.14,Atacado
161,65,414,25,20240126,34,72.54,49.54,Varejo
162,222,218,75,20241010,8,85.48,62.04,Atacado
163,163,71,80,20240903,90,116.95,93.08,Atacado
164,61,185,77,20240519,8,90.03,67.85,Atacado
165,421,361,99,20240512,265,10.93,7.98,Exportação
166,571,268,12,20240116,411,9.72,5.32,Varejo
167,187,247,75,20241230,10,87.99,69.17,Atacado
168,551,51,59,20241112,45,155.14,109.84,Atacado
169,320,334,11,20241224,279,7.86,6.01,Atacado
170,521,60,71,20241106,90,140.54,116.52,Atacado
171,478,147,15,20240619,5,75.14,57.93,Varejo
172,11,254,82,20241114,343,10.74,6.92,Atacado
173,111,490,43,20240323,101,89.4,58.05,Atacado
174,335,342,34,20240916,244,10.08,6.88,Exportação
175,376,119,58,20240405,90,121.74,91.75,Atacado
176,448,116,5,20240527,90,112.85,97.08,Exportação
177,513,95,1,20241122,90,126.93,103.64,Atacado
178,456,435,67,20240607,11,66.99,50.24,Atacado
179,501,31,32,20241129,45,99.07,71.47,Atacado
180,400,121,12,20240816,45,124.22,103.44,Varejo
181,228,21,26,20240425,134,108.21,95.05,Atacado
182,13,185,51,20240413,13,100.12,59.02,Atacado
183,22,67,85,20240102,90,107.24,77.98,Varejo
184,186,338,69,20240803,178,8.76,5.7,Atacado
185,587,180,69,20241112,7,92.93,62.85,Varejo
186,86,54,55,20240401,90,134.98,105.59,Atacado
187,589,257,46,20240626,128,8.1,6.01,Exportação
188,307,103,16,20241227,45,129.66,91.0,Atacado
189,190,244,80,20240527,3,98.68,63.75,Varejo
190,442,21,82,20241213,90,115.79,88.48,Atacado
